# 296 K
# source: 10.1039/C2EE22858K
pressure[mmHg],uptake[cm3STP/cm3]
800,146.666666667
781.927710843,145.531914894
756.626506024,144.397163121
731.325301205,143.262411348
709.638554217,143.262411348
709.638554217,142.127659574
684.337349398,140.992907801
662.65060241,139.858156028
640.963855422,138.723404255
615.662650602,136.453900709
593.975903614,136.453900709
568.674698795,134.184397163
543.373493976,134.184397163
521.686746988,131.914893617
500,130.780141844
474.698795181,128.510638298
453.012048193,127.375886525
427.710843373,125.106382979
402.409638554,122.836879433
380.722891566,121.70212766
359.036144578,119.432624113
333.734939759,117.163120567
312.048192771,114.893617021
286.746987952,112.624113475
261.445783133,109.219858156
239.759036145,105.815602837
210.843373494,102.411347518
189.156626506,99.0070921986
167.469879518,94.4680851064
142.168674699,87.6595744681
120.481927711,83.1205673759
95.1807228916,74.0425531915
80.7228915663,69.5035460993
51.8072289157,54.7517730496
26.5060240964,37.7304964539
15.6626506024,22.9787234043
